company_code,month,level4_key,pbi_rows,synapse_rows,row_diff,pbi_actual,synapse_actual,actual_diff,pbi_budget,synapse_budget,budget_diff
EA01,2025-01,KS00/42104100,2,2,0,117401043.47,0,117401043.47,0,0,0
EA01,2025-01,KS00/42104210,1,1,0,-117401043.47,0,-117401043.47,0,0,0
EA37,2025-01,KS00/42104100,5,5,0,59743583.32,0,59743583.32,0,0,0
EA37,2025-01,KS00/42104210,1,1,0,-59743583.32,0,-59743583.32,0,0,0
EA12,2025-12,KS00/88202210,2,0,2,-23347309.97,0,-23347309.97,0,0,0
EA12,2025-12,KS00/10002300,5,5,0,36636894.18,13289584.21,23347309.97,0,0,0
EA11,2025-12,KS00/10002300,4,4,0,5476324.6,343395,5132929.6,0,0,0
EA37,2025-05,KS00/24014280,0,3,-3,0,4634756.37,-4634756.37,0,0,0
EA11,2025-12,KS00/10012160,2,2,0,-4033508.94,9000,-4042508.94,0,0,0
EA01,2025-02,KS00/14000100,1,1,0,3124904.49,7124904.49,-4000000,0,0,0
EA01,2025-02,KS00/12100100,1,1,0,3999999,0,3999999,0,0,0
EA37,2025-01,KS00/24014280,0,3,-3,0,3963847.76,-3963847.76,0,0,0
EA37,2025-04,KS00/24014280,0,3,-3,0,-3588227.61,3588227.61,0,0,0
EA37,2025-06,KS00/24014280,0,3,-3,0,-3223972.06,3223972.06,0,0,0
EA37,2025-12,KS00/88202210,1,0,1,-2574036.07,0,-2574036.07,0,0,0
EA37,2025-12,KS00/10002300,3,3,0,2574036.07,0,2574036.07,0,0,0
EA37,2025-02,KS00/24014280,0,3,-3,0,-2356771.67,2356771.67,0,0,0
EA37,2025-03,KS00/24014280,0,3,-3,0,2142942.68,-2142942.68,0,0,0
EA37,2025-07,KS00/24014280,0,3,-3,0,1977768.32,-1977768.32,0,0,0
EA37,2025-11,KS00/24014280,0,3,-3,0,-1651672.54,1651672.54,0,0,0
EA37,2025-12,KS00/24014280,0,3,-3,0,1491538.05,-1491538.05,0,0,0
EA37,2025-12,KS00/19100110,3,3,0,1929968.56,468341.79,1461626.77,0,0,0
EA01,2025-02,KS00/31908200,1,1,0,0,1455851.42,-1455851.42,0,0,0
EA37,2025-12,KS00/31104100,5,5,0,-1260405.85,107046.8,-1367452.65,0,0,0
EA22,2025-12,KS00/10002300,3,3,0,1326930,0,1326930,0,0,0
EA01,2025-01,KS00/31302110,1,1,0,-1201682.59,0,-1201682.59,0,0,0
EA01,2025-01,KS00/31302210,2,2,0,1192349.58,0,1192349.58,0,0,0
EA37,2025-01,KS00/31302110,2,2,0,-1082641.65,0,-1082641.65,0,0,0
EA37,2025-10,KS00/10012160,1,1,0,1030271.52,0,1030271.52,0,0,0
EA37,2025-10,KS00/70909121,1,1,0,0,1030271.52,-1030271.52,0,0,0
EA37,2025-01,KS00/31302210,2,1,1,971601.68,0,971601.68,0,0,0
EA01,2025-02,KS00/31104100,2,2,0,172002.07,-702107.93,874110,0,0,0
EA22,2025-12,KS00/88202210,1,0,1,-839106,0,-839106,0,0,0
EA11,2025-12,KS00/31104100,5,5,0,-747644.91,73352.16,-820997.07,0,0,0
EA37,2025-09,KS00/24014280,0,3,-3,0,-725429.75,725429.75,0,0,0
EA37,2025-01,KS00/59009130,2,1,1,538858.64,-169517.19,708375.83,0,0,0
