Company code.Company code Level 01.Company (Key),G/L Account.Level 04.Key,pbi_row_count,synapse_row_count,pbi_MTD&0T_FPIE&Actual,pbi_MTD&0T_FPIE&Budget,synapse_MTD&0T_FPIE&Actual,synapse_MTD&0T_FPIE&Budget
EA01,KS00/10005100,85,47,4857194.3,0,0,0
EA01,KS00/10006100,85,47,6575602.35,0,-57339.51,0
EA01,KS00/10007100,21,12,0,0,-81943.57,0
EA01,KS00/10012160,25,11,4360,0,0,0
EA01,KS00/10105100,85,47,-4662901.63,0,-340003.43,0
EA01,KS00/10106100,85,47,-6122172.28,0,-695261.89,0
EA01,KS00/10107100,85,47,0,0,64822.86,0
EA01,KS00/11015100,85,47,9007618.88,0,-1999221.74,0
EA01,KS00/11115100,85,47,-6889491.77,0,-423002.84,0
EA01,KS00/12100100,85,47,4575326547.36,0,125255479.64,0
EA01,KS00/12200100,85,47,-1122000000,0,0,0
EA01,KS00/14000100,85,47,5496500239.05,0,-29267613.24,0
EA01,KS00/14100100,85,47,-106387822.5,0,0,0
EA01,KS00/14900100,14,10,0,0,0,0
EA01,KS00/19100100,6,5,0,0,0,0
EA01,KS00/19100110,85,47,13590,0,8460,0
EA01,KS00/22101100,144,76,724217.45,0,-5952563.65,0
EA01,KS00/22101200,74,37,1193352.26,0,1965447.37,0
EA01,KS00/22101500,85,47,500328.75,0,0,0
EA01,KS00/22201100,42,26,45360.72,0,-97624.89,0
EA01,KS00/22201110,10,6,0,0,0,0
EA01,KS00/22201200,85,47,10377713.2,0,7803007.49,0
EA01,KS00/22201300,102,59,150,0,-7180,0
EA01,KS00/22201330,128,62,7000000,0,5000000,0
EA01,KS00/22201400,82,47,44429.46,0,-6170.4,0
EA01,KS00/22301110,170,94,963146.83,0,291550.99,0
EA01,KS00/22302210,85,47,0,0,-88358.45,0
EA01,KS00/23201100,170,94,1640564.76,0,405103.63,0
EA01,KS00/23301400,67,34,308336.38,0,-98180.79,0
EA01,KS00/23304117,66,46,-6819.5,0,12051.88,0
EA01,KS00/24001820,86,48,627346.53,0,49500.53,0
EA01,KS00/24001821,61,34,0,0,0,0
EA01,KS00/24001822,66,36,47178.08,0,0,0
EA01,KS00/24021535,85,47,25677278.47,0,1733475.21,0
EA01,KS00/24021536,31,8,-15462008.22,0,0,0
EA01,KS00/24021537,76,43,1010260.28,0,50,0
EA01,KS00/24030810,85,47,77660.4,0,-196.2,0
EA01,KS00/24050920,53,34,347622.19,0,-43192.97,0
EA01,KS00/24050921,85,47,0,0,-1135243.45,0
EA01,KS00/24050922,47,33,0,0,1135298.45,0
EA01,KS00/24050940,85,47,4016728.17,0,-5229450.47,0
EA01,KS00/24050941,92,50,-344.32,0,-572176.42,0
EA01,KS00/24050942,101,59,151780.98,0,289280.65,0
EA01,KS00/24056210,85,47,141233.85,0,1278.56,0
EA01,KS00/24056211,11,7,0,0,0,0
EA01,KS00/24056212,77,44,0,0,0,0
EA01,KS00/24065115,85,47,63176032.6,0,116323840.33,0
EA01,KS00/24065116,85,47,-21615072.71,0,-76794049.9,0
EA01,KS00/24065117,128,73,18464649.58,0,59804888.95,0
EA01,KS00/24065120,170,94,26277,0,-8236235.76,0
EA01,KS00/24065121,65,44,0,0,-975900,0
EA01,KS00/24065122,67,42,0,0,0,0
EA01,KS00/24065185,170,94,4756449.79,0,-4856797.68,0
EA01,KS00/24065186,143,87,0,0,1851143.08,0
EA01,KS00/24065187,165,94,-5142.32,0,20399374.65,0
EA01,KS00/24065275,85,47,100795.86,0,205.01,0
EA01,KS00/24101310,67,34,306154540.48,0,-53626586.69,0
EA01,KS00/25002110,85,47,334820.22,0,377303.24,0
EA01,KS00/25109117,10,4,0,0,0,0
EA01,KS00/25109121,85,47,0,0,0,0
EA01,KS00/25109328,73,36,36064000,0,-22768000,0
EA01,KS00/26001110,85,47,35085727.07,0,-136328742.08,0
EA01,KS00/26001120,85,47,38259859.06,0,-36387940.8,0
EA01,KS00/26001130,85,47,-62518.5,0,722040.75,0
EA01,KS00/31001100,170,94,-1380254.85,0,3920057.16,0
EA01,KS00/31002100,121,69,-2054506.84,0,3361232.75,0
EA01,KS00/31003100,170,94,-390960.88,0,5037.18,0
EA01,KS00/31004100,42,14,-4415.5,0,43509.6,0
EA01,KS00/31004101,82,45,-3560685.44,0,-289255.63,0
EA01,KS00/31004102,85,47,-2264696.04,0,358816.87,0
EA01,KS00/31005140,85,47,7565255.38,0,-487747.59,0
EA01,KS00/31012100,85,47,-4619992.46,0,914850.01,0
EA01,KS00/31101100,105,57,0,0,1905.12,0
EA01,KS00/31103100,120,66,-6416.9,0,-2751.35,0
EA01,KS00/31104100,170,94,-10470692.23,0,-1885024.51,0
EA01,KS00/31104120,81,44,0,0,0,0
EA01,KS00/31104130,81,44,-2323.42,0,-1171.55,0
EA01,KS00/31301200,170,94,205534.82,0,121421.44,0
EA01,KS00/31301300,170,94,-1859105.84,0,-508940.29,0
EA01,KS00/31301600,85,47,15126.72,0,6423.87,0
EA01,KS00/31301700,85,47,-10433.22,0,-4859.37,0
EA01,KS00/31301800,170,94,655841.46,0,56060.92,0
EA01,KS00/31302110,85,47,-1067638.11,0,1353199.78,0
EA01,KS00/31302210,139,74,-5229866.96,0,-1405006.52,0
EA01,KS00/31403110,85,47,-24797.6,0,0,0
EA01,KS00/31905100,62,32,0,0,0,0
EA01,KS00/31908200,84,46,-410.52,0,2640685.59,0
EA01,KS00/31909130,85,47,-6820344,0,-1552360.87,0
EA01,KS00/31909150,85,47,-29,0,21,0
EA01,KS00/32106110,22,2,-90000000,0,-60000000,0
EA01,KS00/33101114,22,2,-43150.69,0,-53917.81,0
EA01,KS00/33101119,170,94,0,0,0,0
EA01,KS00/33101129,85,47,-498788.25,0,5883.5,0
EA01,KS00/33102121,85,47,-450736.45,0,342657.26,0
EA01,KS00/39101120,85,47,73490.4,0,326624,0
EA01,KS00/41001110,85,47,-2651149252.35,0,0,0
EA01,KS00/42101110,85,47,-3234771640.4,0,0,0
EA01,KS00/42104100,170,94,0,0,43858924.56,0
EA01,KS00/42104210,85,47,-3300618640.98,0,-43858924.56,0
EA01,KS00/43101120,20,12,0,0,134429870,0
EA01,KS00/43204100,20,12,0,0,4000000,0
EA01,KS00/44203110,85,46,-2175359.18,0,2436277.35,0
EA01,KS00/49909110,170,94,0,0,0,0
EA01,KS00/53200100,29,21,-126076700,-186770400.3,-126076700,-186770400.3
EA01,KS00/53200110,32,21,33805196.4,10238229.02,36387940.8,10238229.02
EA01,KS00/53200120,24,14,-109265950,0,-87010065,0
EA01,KS00/53200130,6,2,5810,0,5810,0
EA01,KS00/53300140,80,47,-2283967.66,-463958.4,-2012567.96,-463958.4
EA01,KS00/59004100,80,47,-508488.78,0,-487378.18,0
EA01,KS00/59004200,13,9,0,0,0,0
EA01,KS00/59009110,8,4,-728547.4,0,-503325.48,0
EA01,KS00/59009130,8,4,0,0,0,0
EA01,KS00/59103100,48,32,-229053000,-1108000,-124268000,-1108000
EA01,KS00/59104110,64,34,-7105142.45,0,-6745918.52,0
EA01,KS00/59104210,30,20,-79116.64,0,-73710.88,0
EA01,KS00/59104230,80,46,-19382198.94,-2749544.24,-18076192.4,-2749544.24
EA01,KS00/59104410,80,47,-102431.86,0,-73061.54,0
EA01,KS00/59107100,31,20,-1298.5,0,18750,0
EA01,KS00/59107110,17,9,-230,0,-230,0
EA01,KS00/59107220,76,43,-3616152.57,-216000,-3423310.15,-216000
EA01,KS00/59301110,80,45,-25340240.73,-6014000,-23342504.84,-6014000
EA01,KS00/59301115,80,46,-23478528.6,-3749648.05,-21254667.44,-3749648.05
EA01,KS00/59301120,55,36,-56272.47,0,-52332.92,0
EA01,KS00/63000140,16,12,218448.93,0,218448.93,0
EA01,KS00/63001110,78,45,2302285.07,0,2302285.07,0
EA01,KS00/63001160,16,12,210457.18,0,210457.18,0
EA01,KS00/63001190,29,21,306081,0,306081,0
EA01,KS00/63001200,24,16,41808.7,0,41808.7,0
EA01,KS00/63002100,54,36,811260.93,0,811260.93,0
EA01,KS00/63003100,17,13,-9306.44,0,-9306.44,0
EA01,KS00/63003110,14,10,0,0,0,0
EA01,KS00/63005100,32,21,171414469.15,165216993.85,136328742.08,165216993.85
EA01,KS00/63700100,29,21,1793724.64,0,1793724.64,0
EA01,KS00/80103130,36,32,0,36000,0,32000
EA01,KS00/80201010,80,46,15674844.8,13805536.8,12515750.87,12361797.4
EA01,KS00/80202010,80,46,5991536,10261622.16,4447567.8,9310831.81
EA01,KS00/80203332,80,46,1532915.6,1591431.36,1257841.97,1417737.27
EA01,KS00/80203350,80,45,13981.66,21160.92,10930.66,19060.01
EA01,KS00/80203360,51,23,167560.04,0,142260.04,0
EA01,KS00/80204111,36,12,94312.14,0,5642.78,0
EA01,KS00/80204120,17,9,935,0,725,0
EA01,KS00/80204210,80,45,97474.15,252780,84925.68,230465
EA01,KS00/80205110,80,45,336573.11,339349.8,261456.55,296118.57
EA01,KS00/80205120,95,56,236764.43,312689.04,209250.24,282166.12
EA01,KS00/80205213,38,26,620.73,3017.4,620.73,3017.4
EA01,KS00/80205214,80,47,10346.46,31720,9582.57,28010
EA01,KS00/80205310,20,3,45429.22,0,-5883.5,0
EA01,KS00/80205322,80,47,223602.91,142179.96,202780.48,129031.63
EA01,KS00/80205329,80,45,146270.22,233108.04,122940.29,208003.03
