Company code.Company code Level 01.Company (Key),G/L Account.Level 04.Key,row_count,MTD&0T_FPIE&Actual,MTD&0T_FPIE&Budget
EA02,KS00/12100100,21,-2,0
EA02,KS00/24050955,34,-10865,0
EA02,KS00/24050956,1,0,0
EA02,KS00/24050957,33,0,0
EA02,KS00/24201410,9,-1,0
EA02,KS00/31001100,18,0,0
EA02,KS00/31102100,5,0,0
EA02,KS00/31103100,7,0,0
EA02,KS00/31104100,34,8282,0
EA02,KS00/31909150,34,52645.85,0
EA02,KS00/41001110,33,1,0
EA02,KS00/42104100,33,55364.85,0
EA02,KS00/42104210,34,-46419.6,0
EA02,KS00/43202100,33,1000,0
EA02,KS00/59004100,5,0,0
EA02,KS00/59107120,3,-71395.15,0
EA02,KS00/83001110,9,2268,0
EA02,KS00/83001140,12,1,0
EA02,KS00/83002110,9,-2501.2,0
EA02,KS00/83004210,19,220,0
EA02,KS00/83009110,1,11340,0
EA02,KS00/84102110,21,55.75,0
EA02,KS00/84201100,4,0,0
EA02,KS00/85003140,7,5.5,0
EA03,KS00/12101100,34,0,0
EA03,KS00/14000100,34,-12520000,0
EA03,KS00/14002100,34,0,0
EA03,KS00/14002110,34,-106100,0
EA03,KS00/22201320,34,-158005.71,0
EA03,KS00/22309110,21,-840.25,0
EA03,KS00/23201100,34,0,0
EA03,KS00/24049915,13,0,0
EA03,KS00/24049916,34,0,0
EA03,KS00/24049917,1,0,0
EA03,KS00/24065140,34,3017.98,0
EA03,KS00/24065141,34,0,0
EA03,KS00/24065142,34,0,0
EA03,KS00/25109328,34,0,0
EA03,KS00/31001100,19,-2060.1,0
EA03,KS00/31002100,18,0,0
EA03,KS00/31003100,34,0,0
EA03,KS00/31104100,34,-18305.28,0
EA03,KS00/41001110,34,0,0
EA03,KS00/42104100,34,-12793027.85,0
EA03,KS00/42104210,34,12793027.85,0
EA03,KS00/43202100,3,0,0
EA03,KS00/59004100,17,-773.09,0
EA03,KS00/59004200,21,10873.67,0
EA03,KS00/83001110,34,58654.9,0
EA03,KS00/83001120,34,14109.59,0
EA03,KS00/83002110,29,19000.1,0
EA03,KS00/83004110,21,3682.8,0
EA03,KS00/83004210,34,6013,0
EA03,KS00/84102110,30,151.8,0
EA03,KS00/84201100,16,8404.72,0
EA03,KS00/84201200,34,95800,0
EA03,KS00/85003130,15,348.8,0
EA03,KS00/88101120,7,-13972.93,0
EA03,KS00/92101110,1,12600000,0
EA03,KS00/99005110,34,0,0
EA05,KS00/12101100,34,0,0
EA05,KS00/12201100,34,0,0
EA05,KS00/23201100,34,0,0
EA05,KS00/24065150,34,5888.99,0
EA05,KS00/24065151,5,0,0
EA05,KS00/24065152,27,0,0
EA05,KS00/31001100,17,0,0
EA05,KS00/31002100,18,0,0
EA05,KS00/31101100,18,-763,0
EA05,KS00/31104100,34,-18271.38,0
EA05,KS00/41001110,34,0,0
EA05,KS00/42104100,34,-100835.71,0
EA05,KS00/42104210,34,100835.71,0
EA05,KS00/42201810,5,-24215000,0
EA05,KS00/43202100,34,24130000,0
EA05,KS00/59004100,7,0,0
EA05,KS00/83001110,34,58654.9,0
EA05,KS00/83001120,34,14109.59,0
EA05,KS00/83002110,29,19000.1,0
EA05,KS00/83004110,21,3682.8,0
EA05,KS00/83004210,34,2219.2,0
EA05,KS00/84102110,29,151.8,0
EA05,KS00/84201100,6,0,0
EA05,KS00/85003130,15,327,0
EA06,KS00/12101100,34,0,0
EA06,KS00/23201100,34,0,0
EA06,KS00/24049920,13,10715.57,0
EA06,KS00/24049921,34,0,0
EA06,KS00/24049922,34,0,0
EA06,KS00/24065155,34,28560.95,0
EA06,KS00/24065156,34,0,0
EA06,KS00/24065157,34,0,0
EA06,KS00/24065225,34,5.17,0
EA06,KS00/25109328,34,4502275.41,0
EA06,KS00/31001100,26,-2114.6,0
EA06,KS00/31001110,25,0,0
EA06,KS00/31002100,18,0,0
EA06,KS00/31003100,34,0,0
EA06,KS00/31104100,34,-17154.8,0
EA06,KS00/41001110,34,0,0
EA06,KS00/42104100,34,-9595044.94,0
EA06,KS00/42104210,34,9595044.94,0
EA06,KS00/43202100,33,-14190000,0
EA06,KS00/59004100,20,-266619.24,0
EA06,KS00/59004200,31,87232.05,0
EA06,KS00/59103100,5,-38357525.23,0
EA06,KS00/83001110,34,58654.9,0
EA06,KS00/83001120,34,14109.59,0
EA06,KS00/83002110,33,81363.17,0
EA06,KS00/83004110,21,3682.8,0
EA06,KS00/83004210,34,6503.5,0
EA06,KS00/84102110,32,211.6,0
EA06,KS00/84201100,25,70650.64,0
EA06,KS00/84201200,34,143336.3,0
EA06,KS00/85003130,15,359.7,0
EA06,KS00/91101110,3,3835752.52,0
EA06,KS00/92101110,2,43990000,0
EA06,KS00/99005110,34,0,0
EA07,KS00/12101100,34,89066784.1,0
EA07,KS00/12201100,34,0,0
EA07,KS00/14001100,34,-89066784.1,0
EA07,KS00/14900100,34,143485.47,0
EA07,KS00/22309110,34,22230.61,0
EA07,KS00/23201100,34,0,0
EA07,KS00/23301400,34,-13799367.2,0
EA07,KS00/24056205,9,-11491.22,0
EA07,KS00/24056207,9,0,0
EA07,KS00/24065160,34,-22220.19,0
EA07,KS00/24065161,5,0,0
EA07,KS00/24065162,29,0,0
EA07,KS00/31001100,19,0,0
EA07,KS00/31002100,18,0,0
EA07,KS00/31104100,34,-1875.15,0
EA07,KS00/41001110,34,0,0
EA07,KS00/42104100,34,-18000137.03,0
EA07,KS00/42104210,34,18000137.03,0
EA07,KS00/42201810,5,-138515000,0
EA07,KS00/43202100,34,138465000,0
EA07,KS00/59004100,13,-1169.71,0
EA07,KS00/59004200,21,0,0
EA07,KS00/59104230,7,13799367.2,0
EA07,KS00/83001110,34,58654.9,0
EA07,KS00/83001120,34,14109.59,0
EA07,KS00/83002110,29,3685.18,0
EA07,KS00/83004110,21,3682.8,0
EA07,KS00/83004210,34,6122,0
EA07,KS00/84102110,34,153,0
EA07,KS00/84201100,7,0,0
EA07,KS00/84201200,21,-165716.08,0
EA07,KS00/85003130,15,348.8,0
EA07,KS00/99005110,34,0,0
EA08,KS00/12100100,34,0,0
EA08,KS00/12200100,34,-8000,0
EA08,KS00/22201200,33,-2798.46,0
EA08,KS00/22201210,33,4.51,0
EA08,KS00/22201330,11,2450.93,0
EA08,KS00/23201100,34,0,0
EA08,KS00/24021550,34,-325.53,0
EA08,KS00/24030815,34,-13673.34,0
EA08,KS00/24030817,4,0,0
EA08,KS00/24030820,34,-1814.44,0
EA08,KS00/31001100,33,153,0
EA08,KS00/31001110,13,0,0
EA08,KS00/31003100,34,0,0
EA08,KS00/31102100,34,-73518.28,0
EA08,KS00/31102110,10,0,0
EA08,KS00/31103100,9,0,0
EA08,KS00/31104100,34,12317.6,0
EA08,KS00/31909150,7,-51883.53,0
EA08,KS00/41001110,34,0,0
EA08,KS00/42104100,34,-996465.93,0
EA08,KS00/42104210,34,996465.93,0
EA08,KS00/43202100,34,0,0
EA08,KS00/59004100,20,-820.62,0
EA08,KS00/59004200,32,86.5,0
EA08,KS00/80205322,14,1107.22,0
EA08,KS00/83001110,34,33756,0
EA08,KS00/83001120,21,2820.96,0
EA08,KS00/83002110,29,8496.45,0
EA08,KS00/83003110,32,57759.39,0
EA08,KS00/83004110,21,8623.8,0
EA08,KS00/83004210,30,-870.1,0
EA08,KS00/84102110,31,244.99,0
EA08,KS00/84201100,21,731.35,0
EA08,KS00/84201200,34,2007.17,0
EA08,KS00/85003130,15,284.49,0
EA08,KS00/85004140,9,14859.94,0
EA08,KS00/88101110,1,8000,0
EA08,KS00/99002110,34,0,0
EA08,KS00/99005110,34,0,0
EA09,KS00/12101100,34,-16845300,0
EA09,KS00/12201100,34,0,0
EA09,KS00/14001100,34,0,0
EA09,KS00/14002100,34,0,0
EA09,KS00/14900100,34,-24750,0
EA09,KS00/22201320,16,-290535,0
EA09,KS00/22309110,34,14166.7,0
EA09,KS00/23201100,34,0,0
EA09,KS00/23301400,34,240152.19,0
EA09,KS00/24049925,19,-11956.15,0
EA09,KS00/24049926,34,0,0
EA09,KS00/24049927,34,0,0
EA09,KS00/24065130,34,52606.09,0
EA09,KS00/24065131,34,0,0
EA09,KS00/24065132,34,0,0
EA09,KS00/31001100,24,0,0
EA09,KS00/31001110,15,0,0
EA09,KS00/31002100,22,40.62,0
EA09,KS00/31003100,34,0,0
EA09,KS00/31104100,34,-20851.95,0
EA09,KS00/31302210,34,29053.5,0
